date,player,market,line,american_odds,actual,over,team,opponent,book,side,game,event_id,team_moneyline,opponent_moneyline,game_total,open_team_moneyline,close_team_moneyline,moneyline_move,open_game_total,close_game_total,total_move,moneyline_implied_probability,favorite_status,team_implied_runs,opponent_implied_runs,opponent_implied_runs_proxy,book_implied_probability,line_move,odds_move,vig_pct,recent_games,recent_rate,season_rate,rolling_avg_5,rolling_avg_10,rolling_avg_15,rolling_total_bases_10,rolling_hr_rate_15,rolling_k_rate_10,batter_babip,batter_k_rate,batter_walk_rate,batter_days_rest,batter_avg_home,batter_avg_away,barrel_rate,hard_hit_rate,xwoba,xba,xslg,batter_ld_rate,batter_gb_rate,batter_sprint_speed,batter_avg_vs_hand,batter_k_rate_vs_hand,batter_recent_hits_vs_lhp,batter_recent_hits_vs_rhp,pitcher_k_rate,pitcher_walk_rate,pitcher_hr_rate,pitcher_babip,pitcher_days_rest,pitcher_velo_delta,pitcher_avg_allowed_vs_hand,team_k_rate,team_walk_rate,opponent_rate,opponent_bullpen_era_7d,ump_k_rate,ump_zone_size_zscore,ump_favor_batter_score,park_factor,hit_factor,hr_factor,k_factor,temperature,wind_mph,wind_out_score,wind_out_flag,turf_flag,cold_game_flag,pitcher,throws,bats,venue,roof,platoon_matchup
2026-05-04,Otto Lopez,batter_hits,1.5,197.0,1.0,0,MIA,PHI,,,,,,,,,,,,,,,,,,,0.3367,,,,34.0,1.7,1.353,1.8,,1.4,2.0,0.0,1.0,0.41,19.31,4.14,1.0,0.338,0.339,9.52,46.67,0.411,0.374,0.593,23.81,50.48,28.3,,,,,24.84,8.07,1.45,0.304,8.0,0.2,,,,,,,,,1.0,,,,,,,,,,Aaron Nola,,,,,
2026-05-04,Moisés Ballesteros,batter_hits,1.5,192.0,0.0,0,CHC,CIN,,,,,,,,,,,,,,,,,,,0.3425,,,,31.0,0.8,0.839,0.4,,0.733,2.0,0.2,0.5,0.312,15.62,10.42,1.0,0.308,0.303,11.76,50.0,0.389,0.337,0.59,27.94,42.65,24.8,,,,,4.35,8.7,1.59,0.143,-1.0,,,,,,,,,,1.0,,,,,,,,,,Chase Petty,,,,,
2026-05-04,Xavier Edwards,batter_hits,0.5,194.0,1.0,1,MIA,PHI,,,,,,,,,,,,,,,,,,,0.3400999999999999,,,,35.0,1.2,1.229,1.2,,1.133,1.7,0.067,0.2,0.366,10.07,12.75,1.0,0.32,0.352,5.41,38.74,0.356,0.333,0.487,27.93,45.95,28.0,,,,,24.84,8.07,1.45,0.304,8.0,0.2,,,,,,,,,1.0,,,,,,,,,,Aaron Nola,,,,,
2026-05-04,Brice Turang,batter_hits,1.5,173.0,3.0,1,MIL,STL,,,,,,,,,,,,,,,,,,,0.3663,,,,31.0,1.2,1.129,1.8,,1.133,1.8,0.133,0.9,0.375,20.83,18.75,2.0,0.364,0.224,10.84,51.81,0.483,0.398,0.738,30.12,44.58,28.5,,,,,16.98,8.18,1.56,0.302,6.0,0.1,,,,,,,,,1.0,,,,,,,,,,Kyle Leahy,,,,,
2026-05-04,Yandy Díaz,batter_hits,1.5,163.0,0.0,0,TBR,TOR,,,,,,,,,,,,,,,,,,,0.3802,0.0,-386.0,,32.0,1.1,1.219,0.8,,1.0,1.7,0.133,0.4,0.34,11.51,9.35,3.0,0.292,0.342,5.94,44.55,0.391,0.361,0.538,26.73,48.51,25.8,,,,,15.6,9.93,2.3,0.225,5.0,-0.5,,,,,,,,,1.0,,,,72.0,,0.0,0.0,1.0,0.0,Eric Lauer,,,Tropicana Field,dome,
2026-05-04,Chandler Simpson,batter_hits,1.5,162.0,1.0,0,TBR,TOR,,,,,,,,,,,,,,,,,,,0.3817,0.0,-369.0,,34.0,0.9,1.176,1.0,,1.0,1.0,0.0,0.8,0.336,10.27,4.79,1.0,0.317,0.284,0.0,12.4,0.275,0.294,0.334,24.79,59.5,29.7,,,,,15.6,9.93,2.3,0.225,5.0,-0.5,,,,,,,,,1.0,,,,72.0,,0.0,0.0,1.0,0.0,Eric Lauer,,,Tropicana Field,dome,
2026-05-04,Seiya Suzuki,batter_hits,0.5,188.0,2.0,1,CHC,CIN,,,,,,,,,,,,,,,,,,,0.3472,,,,22.0,1.4,1.182,1.2,,1.2,2.7,0.4,1.0,0.385,23.96,12.5,1.0,0.312,0.333,8.93,46.43,0.449,0.401,0.672,32.14,28.57,27.0,,,,,4.35,8.7,1.59,0.143,-1.0,,,,,,,,,,1.0,,,,,,,,,,Chase Petty,,,,,
2026-05-04,Junior Caminero,batter_hits,1.5,199.0,0.0,0,TBR,TOR,,,,,,,,,,,,,,,,,,,0.3344,0.0,-477.0,,34.0,0.8,0.971,0.8,,1.0,1.7,0.333,0.8,0.258,17.69,12.24,1.0,0.263,0.254,10.89,43.56,0.41,0.339,0.606,17.82,46.53,25.9,,,,,15.6,9.93,2.3,0.225,5.0,-0.5,,,,,,,,,1.0,,,,72.0,,0.0,0.0,1.0,0.0,Eric Lauer,,,Tropicana Field,dome,
2026-05-04,Alec Burleson,batter_hits,0.5,183.0,0.0,0,STL,MIL,,,,,,,,,,,,,,,,,,,0.3534,,,,34.0,1.1,1.059,1.2,,1.0,2.0,0.2,0.9,0.292,15.13,11.18,1.0,0.219,0.328,12.73,47.27,0.43,0.337,0.678,18.18,50.0,25.5,,,,,14.93,11.94,0.57,0.241,6.0,1.0,,,,,,,,,1.0,,,,,,,,,,Chad Patrick,,,,,
2026-05-04,Aaron Judge,batter_hits,0.5,196.0,2.0,1,NYY,BAL,,,,,,,,,,,,,,,,,,,0.3378,,,,35.0,1.2,0.971,1.2,,1.067,2.9,0.4,1.0,0.29,27.1,17.42,1.0,0.323,0.222,27.85,55.7,0.621,0.431,1.036,22.78,37.97,26.9,,,,,18.75,9.09,0.91,0.295,6.0,-0.9,,,,,,,,,1.0,,,,,,,,,,Shane Baz,,,,,
2026-05-04,Maikel Garcia,batter_hits,0.5,178.0,0.0,0,KCR,CLE,,,,,,,,,,,,,,,,,,,0.3596999999999999,,,,33.0,0.9,1.03,1.2,,0.933,1.7,0.067,0.6,0.301,16.55,8.97,1.0,0.321,0.216,7.69,45.19,0.37,0.346,0.498,27.88,40.38,27.7,,,,,20.93,9.3,1.37,0.277,6.0,-1.4,,,,,,,,,1.0,,,,,,,,,,Tanner Bibee,,,,,
2026-05-04,Nico Hoerner,batter_hits,1.5,143.0,1.0,0,CHC,CIN,,,,,,,,,,,,,,,,,,,0.4115,,,,34.0,1.0,1.206,1.2,,1.0,1.3,0.067,0.2,0.311,8.92,8.28,1.0,0.295,0.305,2.48,26.45,0.332,0.333,0.445,28.93,33.06,28.3,,,,,4.35,8.7,1.59,0.143,-1.0,,,,,,,,,,1.0,,,,,,,,,,Chase Petty,,,,,
2026-05-04,Bobby Witt Jr.,batter_hits,1.5,176.0,1.0,0,KCR,CLE,,,,,,,,,,,,,,,,,,,0.3622999999999999,,,,35.0,1.2,1.114,0.8,,1.267,2.5,0.2,0.8,0.336,18.35,10.76,1.0,0.265,0.296,11.01,49.54,0.431,0.376,0.607,29.36,34.86,30.2,,,,,20.93,9.3,1.37,0.277,6.0,-1.4,,,,,,,,,1.0,,,,,,,,,,Tanner Bibee,,,,,
2026-05-04,Jordan Walker,batter_hits,0.5,176.0,1.0,1,STL,MIL,,,,,,,,,,,,,,,,,,,0.3622999999999999,,,,34.0,1.4,1.176,1.8,,1.133,2.2,0.133,1.0,0.39,29.45,9.59,1.0,0.338,0.274,20.69,59.77,0.554,0.431,0.86,26.44,37.93,28.8,,,,,14.93,11.94,0.57,0.241,6.0,1.0,,,,,,,,,1.0,,,,,,,,,,Chad Patrick,,,,,
2026-05-04,Dansby Swanson,batter_hits,0.5,165.0,0.0,0,CHC,CIN,,,,,,,,,,,,,,,,,,,0.3774,,,,34.0,0.9,0.676,0.6,,0.667,1.5,0.133,0.6,0.224,21.9,15.33,1.0,0.175,0.245,12.2,48.78,0.391,0.323,0.612,19.51,43.9,27.7,,,,,4.35,8.7,1.59,0.143,-1.0,,,,,,,,,,1.0,,,,,,,,,,Chase Petty,,,,,
2026-05-04,William Contreras,batter_hits,1.5,149.0,1.0,0,MIL,STL,,,,,,,,,,,,,,,,,,,0.4015999999999999,,,,32.0,1.3,1.188,2.0,,1.133,1.7,0.067,0.3,0.315,10.49,9.79,1.0,0.301,0.286,7.34,43.12,0.37,0.327,0.512,24.77,42.2,24.9,,,,,16.98,8.18,1.56,0.302,6.0,0.1,,,,,,,,,1.0,,,,,,,,,,Kyle Leahy,,,,,
2026-05-04,Bryce Harper,batter_hits,1.5,199.0,3.0,1,PHI,MIA,,,,,,,,,,,,,,,,,,,0.3344,,,,35.0,1.1,1.0,1.0,,1.0,2.1,0.2,0.9,0.289,16.78,12.75,1.0,0.254,0.29,13.86,39.6,0.433,0.333,0.672,19.8,43.56,26.9,,,,,17.42,5.16,0.7,0.232,6.0,0.1,,,,,,,,,1.0,,,,,,,,,,Janson Junk,,,,,
2026-05-04,Steven Kwan,batter_hits,1.5,183.0,0.0,0,CLE,KCR,,,,,,,,,,,,,,,,,,,0.3534,,,,34.0,0.7,0.824,0.8,,0.6,0.9,0.0,0.5,0.243,11.41,10.74,1.0,0.203,0.229,0.91,10.91,0.268,0.274,0.345,21.82,47.27,26.7,,,,,20.69,8.62,1.02,0.203,5.0,-0.9,,,,,,,,,1.0,,,,,,,,,,Michael Wacha,,,,,
2026-05-04,Vladimir Guerrero Jr.,batter_hits,1.5,158.0,1.0,0,TOR,TBR,,,,,,,,,,,,,,,,,,,0.3876,0.0,-376.0,,35.0,1.3,1.229,0.8,,1.333,1.5,0.067,0.5,0.373,12.08,11.41,1.0,0.371,0.294,11.01,44.95,0.397,0.367,0.549,26.61,48.62,26.2,,,,,16.67,5.95,0.64,0.219,6.0,-0.5,,,,,,,,,1.0,,,,72.0,,0.0,0.0,1.0,0.0,Nick Martinez,,,Tropicana Field,dome,
2026-05-04,Cody Bellinger,batter_hits,0.5,177.0,1.0,1,NYY,BAL,,,,,,,,,,,,,,,,,,,0.361,,,,34.0,1.1,1.0,1.8,,1.133,2.4,0.267,0.7,0.293,13.61,13.61,1.0,0.339,0.215,7.84,40.2,0.382,0.338,0.553,19.61,35.29,27.5,,,,,18.75,9.09,0.91,0.295,6.0,-0.9,,,,,,,,,1.0,,,,,,,,,,Shane Baz,,,,,
2026-05-04,Willi Castro,batter_hits,0.5,188.0,1.0,1,COL,NYM,,,,,,,,,,,,,,,,,,,0.3472,0.0,0.0,,28.0,0.8,0.821,0.8,,0.8,0.9,0.0,0.8,0.373,33.33,6.86,1.0,0.34,0.149,7.02,43.86,0.377,0.331,0.536,22.81,40.35,27.9,,,,,20.63,4.76,0.54,0.204,2.0,0.3,,,,,,,,,1.0,,,,,,,,,,Huascar Brazobán,,,,,
2026-05-04,Troy Johnston,batter_hits,0.5,156.0,0.0,0,COL,NYM,,,,,,,,,,,,,,,,,,,0.3906,0.0,0.0,,32.0,1.2,1.062,1.0,,1.267,1.4,0.0,0.8,0.4,21.01,8.4,1.0,0.367,0.255,2.41,39.76,0.362,0.34,0.502,33.73,40.96,26.3,,,,,20.63,4.76,0.54,0.204,2.0,0.3,,,,,,,,,1.0,,,,,,,,,,Huascar Brazobán,,,,,
2026-05-04,Alex Bregman,batter_hits,0.5,193.0,1.0,1,CHC,CIN,,,,,,,,,,,,,,,,,,,0.3413,,,,35.0,0.7,0.971,0.6,,1.0,1.2,0.067,0.7,0.277,15.0,11.88,1.0,0.244,0.246,7.08,44.25,0.337,0.299,0.484,19.47,44.25,25.6,,,,,4.35,8.7,1.59,0.143,-1.0,,,,,,,,,,1.0,,,,,,,,,,Chase Petty,,,,,
2026-05-04,Hunter Goodman,batter_hits,1.5,186.0,0.0,0,COL,NYM,,,,,,,,,,,,,,,,,,,0.3497,0.0,0.0,,33.0,0.9,0.879,0.2,,0.933,2.4,0.333,1.8,0.317,38.41,7.25,1.0,0.193,0.265,15.94,53.62,0.506,0.384,0.783,23.19,28.99,27.2,,,,,20.63,4.76,0.54,0.204,2.0,0.3,,,,,,,,,1.0,,,,,,,,,,Huascar Brazobán,,,,,
2026-05-04,Kyle Stowers,batter_hits,0.5,187.0,2.0,1,MIA,PHI,,,,,,,,,,,,,,,,,,,0.3484,,,,13.0,0.9,0.923,0.8,,0.923,1.1,0.0,1.1,0.324,22.81,10.53,1.0,0.28,0.2,3.03,57.58,0.374,0.35,0.463,21.21,57.58,25.6,,,,,24.84,8.07,1.45,0.304,8.0,0.2,,,,,,,,,1.0,,,,,,,,,,Aaron Nola,,,,,
2026-05-04,Sal Stewart,batter_hits,1.5,190.0,1.0,0,CIN,CHC,,,,,,,,,,,,,,,,,,,0.3448,,,,35.0,0.6,0.943,0.2,,0.8,1.0,0.133,0.8,0.253,17.88,11.92,1.0,0.281,0.224,18.45,43.69,0.446,0.353,0.69,18.45,43.69,26.4,,,,,21.64,8.19,1.09,0.264,6.0,0.3,,,,,,,,,1.0,,,,,,,,,,Edward Cabrera,,,,,
2026-05-04,Tyler Freeman,batter_hits,1.5,180.0,0.0,0,COL,NYM,,,,,,,,,,,,,,,,,,,0.3571,0.0,0.0,,20.0,0.8,0.85,0.8,,0.8,1.2,0.067,0.4,0.314,12.33,4.11,3.0,0.261,0.289,0.0,31.48,0.339,0.338,0.446,24.07,55.56,27.2,,,,,20.63,4.76,0.54,0.204,2.0,0.3,,,,,,,,,1.0,,,,,,,,,,Huascar Brazobán,,,,,
2026-05-04,Michael Busch,batter_hits,0.5,186.0,0.0,0,CHC,CIN,,,,,,,,,,,,,,,,,,,0.3497,,,,34.0,0.9,0.794,1.0,,1.0,1.6,0.133,1.1,0.272,22.15,12.08,1.0,0.288,0.111,8.6,35.48,0.325,0.294,0.472,15.05,45.16,25.8,,,,,4.35,8.7,1.59,0.143,-1.0,,,,,,,,,,1.0,,,,,,,,,,Chase Petty,,,,,
2026-05-04,Juan Soto,batter_hits,1.5,167.0,0.0,0,NYM,COL,,,,,,,,,,,,,,,,,,,0.3745,-1.0,-67.0,,20.0,1.0,1.1,0.8,,0.933,1.8,0.2,0.8,0.339,16.28,15.12,1.0,0.341,0.25,22.81,50.88,0.482,0.371,0.774,26.32,36.84,25.3,,,,,14.57,7.28,1.46,0.203,5.0,-0.1,,,,,,,,,1.0,,,,,,,,,,Tomoyuki Sugano,,,,,
2026-05-04,Elly De La Cruz,batter_hits,0.5,187.0,3.0,1,CIN,CHC,,,,,,,,,,,,,,,,,,,0.3484,,,,35.0,1.2,1.114,1.0,,1.2,1.9,0.267,1.1,0.349,28.57,11.04,1.0,0.304,0.265,15.56,52.22,0.491,0.396,0.765,18.89,46.67,27.8,,,,,21.64,8.19,1.09,0.264,6.0,0.3,,,,,,,,,1.0,,,,,,,,,,Edward Cabrera,,,,,
2026-05-04,Brandon Marsh,batter_hits,0.5,182.0,1.0,1,PHI,MIA,,,,,,,,,,,,,,,,,,,0.3546,,,,31.0,1.3,1.097,1.2,,1.067,2.2,0.133,0.7,0.366,20.34,4.24,1.0,0.304,0.315,5.95,50.0,0.407,0.365,0.6,26.19,44.05,28.1,,,,,17.42,5.16,0.7,0.232,6.0,0.1,,,,,,,,,1.0,,,,,,,,,,Janson Junk,,,,,
2026-05-04,Mark Vientos,batter_hits,0.5,194.0,1.0,1,NYM,COL,,,,,,,,,,,,,,,,,,,0.3400999999999999,-1.0,-86.0,,27.0,1.0,0.815,1.0,,0.8,1.8,0.2,1.0,0.29,23.16,6.32,1.0,0.175,0.312,7.94,42.86,0.403,0.339,0.595,15.87,47.62,25.6,,,,,14.57,7.28,1.46,0.203,5.0,-0.1,,,,,,,,,1.0,,,,,,,,,,Tomoyuki Sugano,,,,,
2026-05-04,Brenton Doyle,batter_hits,0.5,200.0,0.0,0,COL,NYM,,,,,,,,,,,,,,,,,,,0.3333,0.0,0.0,,34.0,0.5,0.559,0.6,,0.467,0.6,0.0,0.9,0.327,35.0,9.0,2.0,0.15,0.255,3.64,36.36,0.341,0.329,0.462,21.82,52.73,28.2,,,,,20.63,4.76,0.54,0.204,2.0,0.3,,,,,,,,,1.0,,,,,,,,,,Huascar Brazobán,,,,,
2026-05-04,Ernie Clement,batter_hits,0.5,176.0,1.0,1,TOR,TBR,,,,,,,,,,,,,,,,,,,0.3622999999999999,0.0,420.0,,34.0,0.8,1.176,0.8,,1.2,1.4,0.067,0.3,0.307,6.99,3.5,1.0,0.292,0.288,0.0,26.61,0.297,0.288,0.373,27.42,36.29,27.1,,,,,16.67,5.95,0.64,0.219,6.0,-0.5,,,,,,,,,1.0,,,,72.0,,0.0,0.0,1.0,0.0,Nick Martinez,,,Tropicana Field,dome,
2026-05-04,Jasson Domínguez,batter_hits,0.5,159.0,1.0,1,NYY,BAL,,,,,,,,,,,,,,,,,,,0.3861,,,,6.0,1.0,1.0,1.0,,1.0,1.833,0.167,0.5,0.278,12.5,4.17,1.0,0.385,0.111,0.0,40.0,0.376,0.392,0.468,20.0,60.0,26.1,,,,,18.75,9.09,0.91,0.295,6.0,-0.9,,,,,,,,,1.0,,,,,,,,,,Shane Baz,,,,,
2026-05-04,Liam Hicks,batter_hits,0.5,170.0,0.0,0,MIA,PHI,,,,,,,,,,,,,,,,,,,0.3704,,,,32.0,0.6,0.938,0.6,,0.933,1.5,0.267,0.5,0.274,8.62,7.76,2.0,0.328,0.256,7.61,40.22,0.379,0.351,0.518,30.43,41.3,25.7,,,,,24.84,8.07,1.45,0.304,8.0,0.2,,,,,,,,,1.0,,,,,,,,,,Aaron Nola,,,,,
2026-05-04,Marcus Semien,batter_hits,1.5,188.0,0.0,0,NYM,COL,,,,,,,,,,,,,,,,,,,0.3472,-1.0,-88.0,,35.0,0.5,0.743,0.4,,0.733,0.5,0.0,0.8,0.26,20.59,5.88,1.0,0.149,0.276,6.19,32.99,0.327,0.298,0.457,24.74,32.99,28.1,,,,,14.57,7.28,1.46,0.203,5.0,-0.1,,,,,,,,,1.0,,,,,,,,,,Tomoyuki Sugano,,,,,
2026-05-04,Mark Vientos,batter_hits,1.5,186.0,1.0,0,NYM,COL,,,,,,,,,,,,,,,,,,,0.3497,-1.0,-86.0,,27.0,1.0,0.815,1.0,,0.8,1.8,0.2,1.0,0.29,23.16,6.32,1.0,0.175,0.312,7.94,42.86,0.403,0.339,0.595,15.87,47.62,25.6,,,,,14.57,7.28,1.46,0.203,5.0,-0.1,,,,,,,,,1.0,,,,,,,,,,Tomoyuki Sugano,,,,,
2026-05-04,Trea Turner,batter_hits,1.5,168.0,0.0,0,PHI,MIA,,,,,,,,,,,,,,,,,,,0.3731,,,,34.0,1.0,0.971,0.6,,0.867,1.7,0.133,1.1,0.276,20.39,7.89,1.0,0.263,0.203,5.61,39.25,0.321,0.302,0.439,18.69,44.86,29.9,,,,,17.42,5.16,0.7,0.232,6.0,0.1,,,,,,,,,1.0,,,,,,,,,,Janson Junk,,,,,
2026-05-04,Jordan Beck,batter_hits,0.5,191.0,1.0,1,COL,NYM,,,,,,,,,,,,,,,,,,,0.3436,0.0,0.0,,25.0,0.4,0.48,0.6,,0.6,0.7,0.067,0.9,0.22,24.32,5.41,2.0,0.185,0.167,2.0,28.0,0.3,0.292,0.393,18.0,48.0,28.0,,,,,20.63,4.76,0.54,0.204,2.0,0.3,,,,,,,,,1.0,,,,,,,,,,Huascar Brazobán,,,,,
2026-05-04,José Ramírez,batter_hits,0.5,195.0,1.0,1,CLE,KCR,,,,,,,,,,,,,,,,,,,0.3389999999999999,,,,36.0,0.7,0.806,0.8,,0.8,1.0,0.133,0.5,0.217,13.38,15.29,1.0,0.241,0.203,10.09,41.28,0.398,0.325,0.586,19.27,26.61,27.1,,,,,20.69,8.62,1.02,0.203,5.0,-0.9,,,,,,,,,1.0,,,,,,,,,,Michael Wacha,,,,,
2026-05-04,Pete Crow-Armstrong,batter_hits,0.5,167.0,1.0,1,CHC,CIN,,,,,,,,,,,,,,,,,,,0.3745,,,,35.0,0.8,0.886,0.8,,0.933,1.7,0.133,1.1,0.318,27.78,6.94,1.0,0.219,0.259,7.87,46.07,0.384,0.339,0.56,15.73,46.07,28.9,,,,,4.35,8.7,1.59,0.143,-1.0,,,,,,,,,,1.0,,,,,,,,,,Chase Petty,,,,,
2026-05-04,Ben Williamson,batter_hits,0.5,172.0,2.0,1,TBR,TOR,,,,,,,,,,,,,,,,,,,0.3676,0.0,400.0,,30.0,0.9,0.767,0.8,,0.667,1.2,0.0,0.6,0.329,20.0,9.0,1.0,0.263,0.25,0.0,34.33,0.319,0.324,0.414,34.33,49.25,28.3,,,,,15.6,9.93,2.3,0.225,5.0,-0.5,,,,,,,,,1.0,,,,72.0,,0.0,0.0,1.0,0.0,Eric Lauer,,,Tropicana Field,dome,
2026-05-04,T.J. Rumfield,batter_hits,0.5,159.0,0.0,0,COL,NYM,,,,,,,,,,,,,,,,,,,0.3861,0.0,0.0,,36.0,1.0,0.944,1.0,,1.067,1.5,0.133,0.7,0.288,15.97,7.64,1.0,0.262,0.257,8.57,39.05,0.379,0.331,0.551,26.67,45.71,24.9,,,,,20.63,4.76,0.54,0.204,2.0,0.3,,,,,,,,,1.0,,,,,,,,,,Huascar Brazobán,,,,,
2026-05-04,Kazuma Okamoto,batter_hits,0.5,195.0,1.0,1,TOR,TBR,,,,,,,,,,,,,,,,,,,0.3389999999999999,,,,34.0,1.0,0.882,1.2,,1.0,2.5,0.467,0.9,0.276,29.37,11.19,1.0,0.25,0.222,15.66,51.81,0.475,0.358,0.756,19.28,39.76,26.0,,,,,16.67,5.95,0.64,0.219,6.0,-0.5,,,,,,,,,1.0,,,,72.0,,0.0,0.0,1.0,0.0,Nick Martinez,,,Tropicana Field,dome,
2026-05-04,Dillon Dingler,batter_hits,0.5,162.0,1.0,1,DET,BOS,,,,,,,,,,,,,,,,,,,0.3817,,,,30.0,0.8,0.9,1.0,,0.933,1.4,0.2,0.8,0.266,16.95,5.93,2.0,0.245,0.268,16.87,51.81,0.491,0.391,0.772,25.3,42.17,27.6,,,,,34.33,8.96,0.51,0.14,6.0,-0.6,,,,,,,,,1.0,,,,,,,,,,Payton Tolle,,,,,
2026-05-04,Salvador Perez,batter_hits,0.5,158.0,1.0,1,KCR,CLE,,,,,,,,,,,,,,,,,,,0.3876,,,,34.0,1.2,0.824,1.0,,1.067,2.0,0.133,0.8,0.228,20.28,2.8,1.0,0.235,0.179,9.71,40.78,0.338,0.284,0.501,23.3,38.83,24.2,,,,,20.93,9.3,1.37,0.277,6.0,-1.4,,,,,,,,,1.0,,,,,,,,,,Tanner Bibee,,,,,
2026-05-04,Francisco Alvarez,batter_hits,1.5,168.0,1.0,0,NYM,COL,,,,,,,,,,,,,,,,,,,0.3731,-1.0,-68.0,,32.0,0.6,0.688,0.8,,0.6,0.8,0.0,1.1,0.265,21.82,8.18,2.0,0.22,0.239,14.08,40.85,0.385,0.306,0.599,15.49,50.7,25.8,,,,,14.57,7.28,1.46,0.203,5.0,-0.1,,,,,,,,,1.0,,,,,,,,,,Tomoyuki Sugano,,,,,
2026-05-04,JJ Wetherholt,batter_hits,0.5,156.0,2.0,1,STL,MIL,,,,,,,,,,,,,,,,,,,0.3906,,,,35.0,1.3,0.943,1.0,,1.067,2.8,0.267,0.5,0.263,17.39,11.18,1.0,0.247,0.246,9.62,45.19,0.38,0.294,0.58,21.15,35.58,27.4,,,,,14.93,11.94,0.57,0.241,6.0,1.0,,,,,,,,,1.0,,,,,,,,,,Chad Patrick,,,,,
2026-05-04,Ian Happ,batter_hits,0.5,152.0,0.0,0,CHC,CIN,,,,,,,,,,,,,,,,,,,0.3968,,,,33.0,0.7,0.909,1.0,,0.933,1.4,0.133,1.2,0.301,28.48,16.56,1.0,0.274,0.196,15.0,40.0,0.443,0.324,0.718,18.75,42.5,27.7,,,,,4.35,8.7,1.59,0.143,-1.0,,,,,,,,,,1.0,,,,,,,,,,Chase Petty,,,,,
2026-05-04,Jakob Marsee,batter_hits,0.5,155.0,2.0,1,MIA,PHI,,,,,,,,,,,,,,,,,,,0.3922,,,,34.0,0.8,0.706,0.6,,0.8,1.0,0.067,1.5,0.256,25.16,13.55,2.0,0.208,0.155,2.2,37.36,0.29,0.274,0.389,25.27,36.26,27.7,,,,,24.84,8.07,1.45,0.304,8.0,0.2,,,,,,,,,1.0,,,,,,,,,,Aaron Nola,,,,,
2026-05-04,Garrett Mitchell,batter_hits,0.5,162.0,0.0,0,MIL,STL,,,,,,,,,,,,,,,,,,,0.3817,,,,32.0,0.6,0.656,0.8,,0.533,0.8,0.0,1.2,0.377,35.29,17.65,1.0,0.222,0.216,13.73,45.1,0.461,0.388,0.696,21.57,54.9,29.6,,,,,16.98,8.18,1.56,0.302,6.0,0.1,,,,,,,,,1.0,,,,,,,,,,Kyle Leahy,,,,,
2026-05-04,Jonny DeLuca,batter_hits,0.5,155.0,1.0,1,TBR,TOR,,,,,,,,,,,,,,,,,,,0.3922,,,,26.0,0.7,0.769,0.8,,0.8,1.0,0.067,0.7,0.321,18.42,3.95,1.0,0.25,0.306,5.36,32.14,0.365,0.328,0.494,23.21,39.29,28.9,,,,,15.6,9.93,2.3,0.225,5.0,-0.5,,,,,,,,,1.0,,,,72.0,,0.0,0.0,1.0,0.0,Eric Lauer,,,Tropicana Field,dome,
2026-05-04,Otto Lopez,batter_hits,0.5,100.0,1.0,1,MIA,PHI,,,,,,,,,,,,,,,,,,,0.5,,,,34.0,1.7,1.353,1.8,,1.4,2.0,0.0,1.0,0.41,19.31,4.14,1.0,0.338,0.339,9.52,46.67,0.411,0.374,0.593,23.81,50.48,28.3,,,,,24.84,8.07,1.45,0.304,8.0,0.2,,,,,,,,,1.0,,,,,,,,,,Aaron Nola,,,,,
2026-05-04,Sal Frelick,batter_hits,0.5,168.0,1.0,1,MIL,STL,,,,,,,,,,,,,,,,,,,0.3731,,,,33.0,0.6,0.667,0.8,,0.733,1.2,0.133,0.1,0.216,10.4,12.0,1.0,0.13,0.3,4.44,25.56,0.293,0.275,0.392,14.44,54.44,28.6,,,,,16.98,8.18,1.56,0.302,6.0,0.1,,,,,,,,,1.0,,,,,,,,,,Kyle Leahy,,,,,
2026-05-04,Ezequiel Tovar,batter_hits,0.5,141.0,0.0,0,COL,NYM,,,,,,,,,,,,,,,,,,,0.4149,0.0,0.0,,36.0,0.5,0.667,0.4,,0.333,0.5,0.0,1.1,0.267,28.15,5.19,1.0,0.14,0.227,8.14,36.05,0.367,0.334,0.535,30.23,36.05,27.8,,,,,20.63,4.76,0.54,0.204,2.0,0.3,,,,,,,,,1.0,,,,,,,,,,Huascar Brazobán,,,,,
2026-05-04,Jazz Chisholm Jr.,batter_hits,0.5,132.0,1.0,1,NYY,BAL,,,,,,,,,,,,,,,,,,,0.431,,,,34.0,1.0,0.765,0.8,,0.933,1.6,0.2,0.8,0.28,26.62,10.79,1.0,0.18,0.236,6.02,39.76,0.331,0.295,0.477,18.07,42.17,27.9,,,,,18.75,9.09,0.91,0.295,6.0,-0.9,,,,,,,,,1.0,,,,,,,,,,Shane Baz,,,,,
2026-05-04,Jake Bauers,batter_hits,0.5,155.0,1.0,1,MIL,STL,,,,,,,,,,,,,,,,,,,0.3922,,,,32.0,1.0,0.875,0.6,,1.067,1.4,0.0,1.1,0.284,21.43,10.32,1.0,0.297,0.184,9.41,52.94,0.392,0.332,0.576,18.82,48.24,26.9,,,,,16.98,8.18,1.56,0.302,6.0,0.1,,,,,,,,,1.0,,,,,,,,,,Kyle Leahy,,,,,
